Season,Year,SeasonalSOI,Phase
Autumn,1876,5.466666666666667,Neutral
Autumn,1877,-3.5666666666666664,Neutral
Autumn,1878,-7.4,ElNino
Autumn,1879,9.333333333333332,LaNina
Autumn,1880,10.633333333333333,LaNina
Autumn,1881,-0.7333333333333333,Neutral
Autumn,1882,4.366666666666666,Neutral
Autumn,1883,1,Neutral
Autumn,1884,-1.5666666666666667,Neutral
Autumn,1885,0.09999999999999994,Neutral
Autumn,1886,4.466666666666667,Neutral
Autumn,1887,5.033333333333333,Neutral
Autumn,1888,-15.033333333333333,ElNino
Autumn,1889,-9.966666666666667,ElNino
Autumn,1890,8.266666666666667,LaNina
Autumn,1891,-1.7666666666666666,Neutral
Autumn,1892,9.333333333333334,LaNina
Autumn,1893,-1.2333333333333334,Neutral
Autumn,1894,-0.8333333333333334,Neutral
Autumn,1895,-5.199999999999999,Neutral
Autumn,1896,-19.1,ElNino
Autumn,1897,-17.1,ElNino
Autumn,1898,9.466666666666667,LaNina
Autumn,1899,3.6333333333333333,Neutral
Autumn,1900,-17.133333333333333,ElNino
Autumn,1901,4.533333333333333,Neutral
Autumn,1902,9,LaNina
Autumn,1903,14.3,LaNina
Autumn,1904,16.766666666666666,LaNina
Autumn,1905,-36.733333333333334,ElNino
Autumn,1906,-4.233333333333333,Neutral
Autumn,1907,4.733333333333333,Neutral
Autumn,1908,5.3,Neutral
Autumn,1909,-4.233333333333333,Neutral
Autumn,1910,6.166666666666666,Neutral
Autumn,1911,-0.8999999999999998,Neutral
Autumn,1912,-14.366666666666667,ElNino
Autumn,1913,-4.3999999999999995,Neutral
Autumn,1914,-1.7999999999999998,Neutral
Autumn,1915,-16.8,ElNino
Autumn,1916,0,Neutral
Autumn,1917,20.566666666666666,LaNina
Autumn,1918,8.266666666666667,LaNina
Autumn,1919,-7.733333333333333,ElNino
Autumn,1920,-2.1666666666666665,Neutral
Autumn,1921,1.3000000000000003,Neutral
Autumn,1922,-1.6666666666666667,Neutral
Autumn,1923,6.533333333333333,Neutral
Autumn,1924,-0.5000000000000001,Neutral
Autumn,1925,9.4,LaNina
Autumn,1926,-7.7,ElNino
Autumn,1927,10.333333333333334,LaNina
Autumn,1928,7.666666666666667,LaNina
Autumn,1929,-0.8666666666666666,Neutral
Autumn,1930,0.03333333333333344,Neutral
Autumn,1931,9.1,LaNina
Autumn,1932,-0.6000000000000001,Neutral
Autumn,1933,2.533333333333333,Neutral
Autumn,1934,-0.3666666666666669,Neutral
Autumn,1935,2.8,Neutral
Autumn,1936,9.600000000000001,LaNina
Autumn,1937,2.6333333333333333,Neutral
Autumn,1938,4.366666666666666,Neutral
Autumn,1939,6.633333333333333,Neutral
Autumn,1940,-11.566666666666666,ElNino
Autumn,1941,-9.466666666666667,ElNino
Autumn,1942,-2.033333333333333,Neutral
Autumn,1943,6.766666666666667,Neutral
Autumn,1944,-0.3333333333333335,Neutral
Autumn,1945,1.9333333333333331,Neutral
Autumn,1946,-7.666666666666667,ElNino
Autumn,1947,-2.233333333333333,Neutral
Autumn,1948,0.7666666666666667,Neutral
Autumn,1949,0.33333333333333326,Neutral
Autumn,1950,14,LaNina
Autumn,1951,-3.0999999999999996,Neutral
Autumn,1952,-0.8666666666666669,Neutral
Autumn,1953,-12.733333333333333,ElNino
Autumn,1954,3.466666666666667,Neutral
Autumn,1955,4.333333333333333,Neutral
Autumn,1956,12.799999999999999,LaNina
Autumn,1957,-3.9666666666666663,Neutral
Autumn,1958,-2.8,Neutral
Autumn,1959,4.933333333333334,Neutral
Autumn,1960,6.2,Neutral
Autumn,1961,-3.3999999999999995,Neutral
Autumn,1962,4.033333333333333,Neutral
Autumn,1963,5.3999999999999995,Neutral
