id,Season,Year,total_seas_prcp,name
ASN00040223,Spring,1949,329.9,BRISBANE AERO
ASN00040223,Summer,1949,693.1,BRISBANE AERO
ASN00040223,Winter,1949,111.3,BRISBANE AERO
ASN00040223,Autumn,1949,NA,BRISBANE AERO
ASN00040223,Spring,1950,255.8,BRISBANE AERO
ASN00040223,Summer,1950,627.6,BRISBANE AERO
ASN00040223,Winter,1950,451.2,BRISBANE AERO
ASN00040223,Autumn,1950,271.6,BRISBANE AERO
ASN00040223,Spring,1951,58.2,BRISBANE AERO
ASN00040223,Summer,1951,163.1,BRISBANE AERO
ASN00040223,Winter,1951,56.6,BRISBANE AERO
ASN00040223,Autumn,1951,274.4,BRISBANE AERO
ASN00040223,Spring,1952,139.7,BRISBANE AERO
ASN00040223,Summer,1952,638.8,BRISBANE AERO
ASN00040223,Winter,1952,234.2,BRISBANE AERO
ASN00040223,Autumn,1952,326.8,BRISBANE AERO
ASN00040223,Spring,1953,120.7,BRISBANE AERO
ASN00040223,Summer,1953,803.6,BRISBANE AERO
ASN00040223,Winter,1953,94.1,BRISBANE AERO
ASN00040223,Autumn,1953,210.6,BRISBANE AERO
ASN00040223,Spring,1954,305.8,BRISBANE AERO
ASN00040223,Summer,1954,260.5,BRISBANE AERO
ASN00040223,Winter,1954,325.3,BRISBANE AERO
ASN00040223,Autumn,1954,159.2,BRISBANE AERO
ASN00040223,Spring,1955,152,BRISBANE AERO
ASN00040223,Summer,1955,763,BRISBANE AERO
ASN00040223,Winter,1955,114.8,BRISBANE AERO
ASN00040223,Autumn,1955,698.4,BRISBANE AERO
ASN00040223,Spring,1956,107.5,BRISBANE AERO
ASN00040223,Summer,1956,446.3,BRISBANE AERO
ASN00040223,Winter,1956,165.3,BRISBANE AERO
ASN00040223,Autumn,1956,441.3,BRISBANE AERO
ASN00040223,Spring,1957,107.1,BRISBANE AERO
ASN00040223,Summer,1957,326.2,BRISBANE AERO
ASN00040223,Winter,1957,168.6,BRISBANE AERO
ASN00040223,Autumn,1957,92.5,BRISBANE AERO
ASN00040223,Spring,1958,104.3,BRISBANE AERO
ASN00040223,Summer,1958,499.3,BRISBANE AERO
